dealid,artistsid,pitched
6480,772,0
6479,772,0
6477,772,0
6474,772,0
6476,772,0
6467,772,0
6501,772,0
6495,772,0
6509,772,0
6490,772,0
6517,772,0
6497,772,0
6520,772,0
6496,772,0
6536,772,0
5814,772,0
6569,772,0
6552,772,0
6591,772,0
6586,772,0
6549,772,0
6594,772,0
6577,772,0
6471,772,0
6598,772,0
6566,772,0
6601,772,0
6603,772,0
6568,772,0
6556,772,0
6564,772,0
6395,772,0
6620,772,0
6608,772,0
6576,772,0
6587,772,0
6539,772,0
6622,772,0
6636,772,0
6670,772,0
6651,772,0
6665,772,0
6668,772,0
6676,772,0
6637,772,0
4995,772,0
6627,772,0
6685,772,0
6680,772,0
6737,772,0
6732,772,0
6742,772,0
6712,772,0
6744,772,0
6767,772,0
6764,772,0
6775,772,0
6713,772,0
6634,772,0
6778,772,0
6774,772,0
6796,772,0
6805,772,0
6804,772,0
6803,772,0
6802,772,0
6808,772,2
6814,772,0
6793,772,0
6819,772,0
6813,772,0
6807,772,0
5871,75892,0
6414,75892,0
3255,75892,0
6438,75892,0
6480,75892,0
6479,75892,0
6477,75892,0
6474,75892,0
6476,75892,0
6467,75892,0
6501,75892,0
6495,75892,0
6509,75892,0
6490,75892,0
6517,75892,0
6497,75892,0
6520,75892,0
6496,75892,0
6536,75892,0
5814,75892,0
6569,75892,0
6552,75892,0
6591,75892,0
6586,75892,0
6549,75892,0
6594,75892,0
6577,75892,0
6471,75892,0
6598,75892,0
6566,75892,0
6601,75892,0
6603,75892,0
6568,75892,0
6556,75892,0
6564,75892,0
6395,75892,0
6620,75892,0
6608,75892,0
6576,75892,0
6587,75892,0
6539,75892,0
6622,75892,0
6636,75892,0
6670,75892,0
6651,75892,0
6665,75892,0
6668,75892,0
6676,75892,0
6637,75892,0
4995,75892,0
6627,75892,0
6685,75892,0
6680,75892,0
6737,75892,0
6732,75892,0
6742,75892,0
6712,75892,1
6744,75892,0
6767,75892,0
6764,75892,0
6775,75892,0
6713,75892,0
6634,75892,0
6778,75892,0
6774,75892,0
6796,75892,0
6805,75892,0
6804,75892,0
6803,75892,0
6802,75892,0
6808,75892,0
6814,75892,0
6793,75892,0
6819,75892,0
6813,75892,0
6807,75892,0
5871,75862,0
6414,75862,0
3255,75862,0
6438,75862,0
6480,75862,0
6479,75862,0
6477,75862,0
6474,75862,0
6476,75862,0
6467,75862,0
6501,75862,0
6495,75862,0
6509,75862,0
6490,75862,0
6517,75862,0
6497,75862,0
6520,75862,0
6496,75862,0
6536,75862,0
5814,75862,0
6569,75862,0
6552,75862,0
6591,75862,0
6586,75862,0
6549,75862,0
6594,75862,0
