Artist,Pitch Count
karthick-iyer,1
kartik-aaryan,4
karunesh-talwar,52
kashish,1
kashmera-shah,1
kashyap-sandeep,1
kashyata-bhatia,2
kaur-mandeep,4
kausani-ghosh,2
kaustubh-mani,1
kautuk-srivastava,5
kavita-godiyal,1
kavita-seth,1
kavya-khurana,4
kavya-limaye,1
kavyas-the-band,1
kaya,1
keerati-ballabh-dev-pathak,1
kenishaa,1
kenneth-sebastian,19
kerano,8
keshav-puri,1
kevin-sam,9
khader-shareef,1
khayali,1
khushboo-grewal,1
kimira-the-dancers-throne,1
kingh-sam,8
kinjack,1
kinnori-samaddar,1
kiran-vaswani,2
kirtidan-gandhvi,2
kishore-,1
kishore-dayani,79
kitchensink,1
kjeld-sreshth,9
knight-s,2
knight-shades,3
knight-shades?id_op=1bEyH,1
kohl-belly-dance-movement,1
kohra,1
kolkata-clouds,1
komal-sheth,2
kopal-bindra,2
korral-reef,1
kosha-pandya,1
koushik-mukherjee,1
kraxus,2
krazy-electrons,1
krishnendu-paul,40
kritarth-srinivasan-comedian,7
kriti-sanon,3
kritika-ahuja,2
kritika-sharma,16
krushna-abhishek,2
krutartha,1
kruti-parekh,1
kshitij-mathur,1
kshitij-tarey,2
kubbra-sait,1
kulwinder-billa,17
kulwinder-gill,1
kumar-sanu,1
kumar-satyamm,7
kumar-sharma,1
kumar-varun-photography,1
kumar-vishu,1
kunal-jaisingh,4
kunal-kamra,52
kuntal-gupta-photography,1
kunwar-amar,4
kushal-paul,1
kutle-khan-project,1
kuwar-virk,1
laachi-bawa-and-glory-bawa,1
lagnajita-official,1
lakhbir-singh-lakha,1
laksh-234122,5
lakshya-bhatnagar,1
lakshya-khanna,4
lamhe,1
lata-pardesi,3
lauren-gottlieb,5
lavina-tandon,1
leela-fireworks,1
leher,1
lesle-lewis,2
life-coach-medhavi-jain,1
little-black-box,1
liz-brown,1
loc,3
lokendra-pal,1
lokesh-batta,6
looking-for-angels,1
loose-puppets,1
lost-ico,2
lost-icons,2
lost-stories,6
lovey-sethi,1
lovina-adnani,1
loysum,1
lubna-siddiqui,1
lucky-singh-durgapuria,2
m-sonic,1
maahaa,1
maan-gangwani,1
mad-d,1
madboy-mink,1
madhav-moghe,1
madhav-the-flautist,1
madhuparna,3
madhuri-goswami,2
madira,1
madman,1
madol,1
maffick-entertainment,1
magic-manas,1
magician-kg,1
mahalakshmi-iyer,1
mahati-ananth,1
mahavir-and-saptak-percussion-duo,2
maheck-chahal,2
maheep-singh,1
mahesh-239796,1
mahesh-dalvi,2
mainam,4
makeup-artistry-by-pehal-ahuja,1
malvika-periwal-photography,1
mame-khan,2
mananjay,1
manas-kumar,1
manas-kumar-sahoo-group,2
manasi-scott,3
mandar-bhide,32
manish-,1
manish-mishra,1
manish-tyagi,95
manisha-chakravarty,1
manisha-koranga,2
manj-musik,2
manjari,1
manjeet-khehra,1
manjeet-singh,1
manjit-rupowalia,1
manjot-singh,1
manjusha-bajaj,1
mankirt-aulakh,33
manmohan-raj,1
mannan-thakral,8
mannat-the-band,3
manndori,1
manoj-malik,1
manpreet-dhami,1
mansheel-gujral,1
mansi-bhardwaj,1
manudeep-mandy-shiromani,1
maram-the-band,20
maria-roza,2
maryam-zakaria,2
mastak-band,1
master-saleem,3
mastikhor-the-band,2
mate,1
mathangi-jagdish,1
mauj-punjab-di,1
mauli-dave,1
mausiqaar,14
may-contain-nuts,1
maya-the-band,1
mayank,1
mayank-chhabra,1
mayank-pandey,3
mayanti-langer,1
mayur,2
mayur-patel,1
mayur-ruyam,1
mayur-sakhare,1
mazhab-the-band,4
